RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed,,
RBP1,0.141657777,276.9762912,51.07116413,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP2,0.304776175,303.5847008,49.79359508,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP3,0.068695524,351.036747,50.83951283,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP4,0.065521388,227.783632,51.15688181,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP5,0.239919074,244.2876031,50.1188941,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP6,0.279544007,362.3299301,51.13209295,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP7,0.334276628,346.5097761,51.62183285,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP8,0.064694472,443.6285079,51.75803685,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP9,0.262699084,518.6636622,51.1593678,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP10,0.053541302,312.4421089,51.92979312,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP11,-0.168980764,824.6202679,52.35748935,93015700,"('x', 'x', 'x', '+', '+', 'x')", different amount of files!
RBP12,0.366299713,491.8639102,50.17056704,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP13,0.364765408,385.2310481,50.63596606,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP14,0.131212424,332.4726448,50.84440398,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP15,0.000494715,732.5520041,49.56467605,93015700,"('x', 'x', 'x', '+', '+', 'x')",
RBP16,0.37032812,200.335736,49.77456307,93015700,"('x', 'x', 'x', '+', '+', 'x')",
,,,,,,
Average Pearson,0.179965315,,,,,